,ASTURIAS,HIDROPANTASMA,LARREYNAGA,VIRGEN,HORA,Date
329,925.56,841.608,439.86,954.59,17,14/3/2015
330,925.56,841.581,439.85,954.58,18,14/3/2015
331,925.56,841.557,439.82,954.58,19,14/3/2015
332,925.56,841.53,439.81,954.58,20,14/3/2015
333,925.56,841.545,439.79,954.58,21,14/3/2015
334,925.56,841.565,439.8,954.58,22,14/3/2015
335,925.57,841.579,439.8,954.58,23,14/3/2015
336,925.57,841.596,439.84,954.58,0,15/3/2015
337,925.57,841.615,439.85,954.58,1,15/3/2015
338,925.56,841.635,439.86,954.58,2,15/3/2015
339,925.55,841.683,439.87,954.58,3,15/3/2015
340,925.54,841.683,439.88,954.57,4,15/3/2015
341,925.52,841.694,439.88,954.57,5,15/3/2015
342,925.51,841.73,439.89,954.57,6,15/3/2015
343,925.51,841.73,439.9,954.57,7,15/3/2015
344,925.5,841.758,439.91,954.57,8,15/3/2015
345,925.49,841.778,439.89,954.57,9,15/3/2015
346,925.47,841.8,439.89,954.57,10,15/3/2015
347,925.46,841.78,439.87,954.57,11,15/3/2015
348,925.45,841.76,439.85,954.57,12,15/3/2015
349,925.44,841.74,439.83,954.57,13,15/3/2015
350,925.44,841.72,439.82,954.57,14,15/3/2015
351,925.44,841.69,439.81,954.57,15,15/3/2015
352,925.44,841.68,439.78,954.57,16,15/3/2015
353,925.44,841.654,439.77,954.57,17,15/3/2015
354,925.44,841.635,439.75,954.57,18,15/3/2015
355,925.44,841.611,439.76,954.57,19,15/3/2015
356,925.44,841.588,439.76,954.57,20,15/3/2015
357,925.44,841.603,439.77,954.57,21,15/3/2015
358,925.44,841.62,439.78,954.57,22,15/3/2015
359,925.44,841.635,439.79,954.57,23,15/3/2015
360,925.44,841.651,439.8,954.57,0,16/3/2015
361,925.42,841.667,439.81,954.57,1,16/3/2015
362,925.42,841.68,439.83,954.57,2,16/3/2015
363,925.41,841.696,439.83,954.57,3,16/3/2015
364,925.41,841.72,439.83,954.57,4,16/3/2015
365,925.41,841.726,439.84,954.57,5,16/3/2015
366,925.41,841.743,439.85,954.57,6,16/3/2015
367,925.41,841.75,439.85,954.57,7,16/3/2015
368,925.41,841.77,439.86,854.56,8,16/3/2015
369,925.41,841.78,439.86,954.57,9,16/3/2015
370,925.41,841.82,439.86,954.57,10,16/3/2015
371,925.41,841.78,439.89,954.57,11,16/3/2015
372,925.41,841.75,439.9,954.57,12,16/3/2015
373,925.41,841.73,439.9,954.55,13,16/3/2015
374,925.41,841.71,439.9,954.55,14,16/3/2015
375,925.41,841.68,439.9,954.55,15,16/3/2015
376,925.41,841.66,439.91,954.55,16,16/3/2015
377,925.41,841.64,439.9,954.54,17,16/3/2015
378,925.41,841.61,439.89,954.54,18,16/3/2015
379,925.41,841.59,439.88,954.54,19,16/3/2015
380,925.41,841.57,439.87,954.54,20,16/3/2015
381,925.41,841.58,439.86,954.54,21,16/3/2015
382,925.41,841.603,439.85,954.54,22,16/3/2015
383,925.41,841.619,439.84,954.54,23,16/3/2015
